videoid,mite,miteid,stepid,area
1000fps_sod10x_largemite03_20190801_160239_C1H1S1,P. carabi,1,1,2463
1000fps_sod10x_largemite03_20190801_160239_C1H1S1,P. carabi,1,2,1950
1000fps_sod10x_largemite04_20190801_160708_C1H1S1,P. carabi,2,1,1022
1000fps_sod10x_largemite04_20190801_160708_C1H1S1,P. carabi,2,2,1703
1000fps_sod10x_largemite04_20190801_160708_C1H1S1,P. carabi,2,3,1495
1000fps_sod10x_largemite04_20190801_160708_C1H1S1,P. carabi,2,4,1151
1000fps_sod10x_largemite04_20190801_160708_C1H1S1,P. carabi,2,5,1240
1000fps_sod10x_largemite05_20190801_161133_C1H1S1,P. carabi,3,1,1555
1000fps_sod10x_largemite06_20190801_161346_C1H1S1,P. carabi,4,1,2523
1000fps_sod10x_largemite06_20190801_161346_C1H1S1,P. carabi,4,2,1601
1000fps_sod10x_largemite06_20190801_161346_C1H1S1,P. carabi,4,3,1294
1000fps_sod10x_largemite06_20190801_161346_C1H1S1,P. carabi,4,4,1198
1000fps_sod10x_largemite07_20190801_161801_C1H1S1,P. carabi,5,1,3835
1000fps_sod10x_largemite07_20190801_161801_C1H1S1,P. carabi,5,2,3976
1000fps_sod10x_largemite07_20190801_161801_C1H1S1,P. carabi,5,3,4540
1000fps_sod10x_largemite07_20190801_161801_C1H1S1,P. carabi,5,4,1454
1000fps_sod10x_largemite07_20190801_161801_C1H1S1,P. carabi,6,1,1275
1000fps_sod10x_largemite07_20190801_161801_C1H1S1,P. carabi,6,2,1092
1000fps_sod10x_largemite07_20190801_161801_C1H1S1,P. carabi,6,3,1521
1000fps_sod10x_largemite08_20190801_162326_C1H1S1,P. carabi,7,1,1327
1000fps_sod10x_largemite09_20190801_162602_C1H1S1,P. carabi,8,2,1415
1000fps_sod10x_largemite09_20190801_162602_C1H1S1,P. carabi,8,3,1298
1000fps_sod10x_largemite10_20190801_163230_C1H1S1,P. carabi,9,1,2707
1000fps_sod10x_largemite10_20190801_163230_C1H1S1,P. carabi,9,2,1929
1000fps_sod10x_largemite10_20190801_163230_C1H1S1,P. carabi,9,3,2432
1000fps_sod10x_largemite10_20190801_163230_C1H1S1,P. carabi,9,4,1584
1000fps_sod10x_largemite11_20190801_163635_C1H1S1,P. carabi,10,1,1153
1000fps_sod10x_largemite11_20190801_163635_C1H1S1,P. carabi,10,2,1517
1000fps_sod10x_largemite11_20190801_163635_C1H1S1,P. carabi,10,3,1215
1000fps_sod10x_largemite12_20190801_163846_C1H1S1,P. carabi,11,1,1057
1000fps_sod10x_largemite12_20190801_163846_C1H1S1,P. carabi,12,1,2247
1000fps_sod10x_largemite12_20190801_163846_C1H1S1,P. carabi,12,2,1983
1000fps_sod10x_largemite12_20190801_163846_C1H1S1,P. carabi,12,3,3064
1000fps_sod10x_largemite12_20190801_163846_C1H1S1,P. carabi,12,4,2194
1000fps_sod10x_largemite13_20190801_164044_C1H1S1.avi,P. carabi,13,1,2149
1000fps_sod10x_largemite13_20190801_164044_C1H1S1.avi,P. carabi,13,2,2390
1000fps_sod10x_largemite14_20190801_164312_C1H1S1,P. carabi,14,1,1338
1000fps_sod10x_largemite14_20190801_164312_C1H1S1,P. carabi,14,2,1098
1000fps_sod10x_largemite15_20190801_164548_C1H1S1,P. carabi,15,1,1255
1000fps_sod10x_largemite15_20190801_164548_C1H1S1,P. carabi,15,2,1111
1000fps_sod10x_largemite15_20190801_164548_C1H1S1,P. carabi,15,3,1497
1000fps_sod10x_largemite15_20190801_164548_C1H1S1,P. carabi,16,1,2799
1000fps_sod10x_largemite15_20190801_164548_C1H1S1,P. carabi,17,1,3046
1000fps_sod10x_smallmite02_20190801_171713_C1H1S1,M. nataliae,18,1,1439
1000fps_sod10x_smallmite02_20190801_171713_C1H1S1,M. nataliae,18,2,1189
1000fps_sod10x_smallmite02_20190801_171713_C1H1S1,M. nataliae,18,3,1285
1000fps_sod10x_smallmite03_20190801_172309_C1H1S1,M. nataliae,19,1,1291
1000fps_sod10x_smallmite03_20190801_172309_C1H1S1,M. nataliae,19,2,1150
1000fps_sod10x_smallmite03_20190801_172309_C1H1S1,M. nataliae,19,3,1284
1000fps_sod10x_smallmite03_20190801_172309_C1H1S1,M. nataliae,19,4,805
1000fps_sod10x_smallmite05_20190801_173730_C1H1S1,M. nataliae,20,1,1843
1000fps_sod10x_smallmite05_20190801_173730_C1H1S1,M. nataliae,20,2,1573
1000fps_sod10x_smallmite05_20190801_173730_C1H1S1,M. nataliae,20,3,1734
1000fps_sod10x_smallmite05_20190801_173730_C1H1S1,M. nataliae,20,4,1612
1000fps_sod10x_smallmite05_20190801_173730_C1H1S1,M. nataliae,20,5,799
1000fps_sod10x_smallmite05_20190801_173730_C1H1S1,M. nataliae,20,6,1376
1000fps_sod10x_smallmite06_20190801_174204_C1H1S1,M. nataliae,21,1,1605
1000fps_sod10x_smallmite07_20190801_175033_C1H1S1,M. nataliae,22,1,819
1000fps_sod10x_smallmite07_20190801_175033_C1H1S1,M. nataliae,22,2,1729
1000fps_sod10x_smallmite07_20190801_175033_C1H1S1,M. nataliae,22,3,1762
1000fps_sod10x_smallmite07_20190801_175033_C1H1S1,M. nataliae,22,4,1673
1000fps_sod10x_smallmite07_20190801_175033_C1H1S1,M. nataliae,22,5,1527
1000fps_sod10x_smallmite07_20190801_175033_C1H1S1,M. nataliae,22,6,1507
1000fps_sod10x_smallmite07_20190801_175033_C1H1S1,M. nataliae,22,7,1805
1000fps_sod10x_smallmite07_20190801_175033_C1H1S1,M. nataliae,22,8,1607